status,reason,match_type,in_quarantine,music_path,dd_path,m_duration,d_duration,m_size,d_size,m_healthy,d_healthy,m_codec,d_codec
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_consumed_dupes/AJR/(2018) Burn the House Down (single)/AJR - (2018) Burn the House Down (single) - 01. Burn the House Down.flac,,,27231825,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 01. It Can Get Worse.fixed.flac,,,15894493,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 10. My Mind Is Slowly Slipping.fixed.flac,,,27031687,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_consumed_dupes/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac,,,34049049,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/Soulwax/(2025) All Systems Are Lying/Soulwax - (2025) All Systems Are Lying - 05. All Systems Are Lying.flac,,,37936521,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/Scoobert Doobert/(2021) Big Hug/Scoobert Doobert - (2021) Big Hug - 14. All in the Feeling.flac,,,18782216,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_consumed_dupes/Fouk/(2015) Heavy on the Bacon (single)/Fouk - (2015) Heavy on the Bacon (single) - 01. Heavy on the Bacon.flac,,,50055737,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,"/Volumes/dotad/DD/_consumed_dupes/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 40. Hand in My Pocket (live at Subterranea, London 09-28-95) (1).flac",,,35024629,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Josh Baker/(2024) Bass Up To The Top/Josh Baker - (2024) Bass Up To The Top - 01. Bass Up To The Top.fixed.flac,,,24521866,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Wilco/(2009) Summerteeth/Wilco - (2009) Summerteeth - 01-08. How to Fight Loneliness.fixed.flac,,,63793773,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Sophie Ellis-Bextor/(2024) Murder on the Dancefloor (PNAU remix) (single)/Sophie Ellis-Bextor - (2024) Murder on the Dancefloor (PNAU remix) (single) - 01. Murder on the Dancefloor (PNAU remix).fixed.flac,,,32992682,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Jack Johnson/(2023) In Between Dub/Jack Johnson - (2023) In Between Dub - 08. Breakdown (Nightmares on Wax mix).salvage.flac,,,26133790,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Johnny Cash/(1965) Orange Blossom Special/Johnny Cash - (1965) Orange Blossom Special - 08. When It's Springtime in Alaska (It's Forty Below).fixed.flac,,,11674342,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 06. Bubbles in the Gasoline.flac,,,26685303,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/Alice Jemima/(2017) No Diggity (Lauer Remixes)/Alice Jemima - (2017) No Diggity (Lauer Remixes) - 01. No Diggity (Lauer Disco Dub) (1).flac,,,40772103,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_replacements_backup/0082090.flac,,,35024629,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_consumed_dupes/_quarantine_from_gemini/Alicia Keys/(2021) The Diary of Alicia Keys/Alicia Keys - (2021) The Diary of Alicia Keys - 06. If I Ain't Got You (1).flac,,,24910706,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,"/Volumes/dotad/DD/Rosalyn Tureck/(2022) Bach - Goldberg Variations & Well Tempered Clavier/Rosalyn Tureck - (2022) Bach - Goldberg Variations & Well Tempered Clavier - 68. Das Wohltemperierte Klavier: Book 1, BWV 846-869: Prelude in A Major BWV 864.flac",,,4945143,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 08. SHINE YOUR LIGHT FOR WE.flac,,,36875071,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 10. DON'T WORRY BABE  I GOT U BABE.flac,,,38940226,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,"/Volumes/dotad/DD/Alan Feinberg/(2015) Fugue State/Alan Feinberg - (2015) Fugue State - 04. Fugue in B-flat major, HWV 607, no. 3.flac",,,44979823,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/warner case/(2025) the water is warm/warner case - (2025) the water is warm - 01. the water is warm.flac,,,51148400,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Wilco/(2009) A.M./Wilco - (2009) A.M. - 02-01. I Must Be High.fixed.flac,,,33001623,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 07. Rock Gently in Disorder.flac,,,23061209,,,,,
MISSING_IN_MUSIC,no audiohash match in MUSIC,audiohash,,,/Volumes/dotad/DD/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 05. Where You Taking My Baby?.flac,,,28942038,,,,,
KEEP_MUSIC,Dur≈; MUSIC larger-or-equal (24816942 >= 24816942),audiohash,0,/Volumes/dotad/MUSIC/Morcheeba/(2002) Charango/Morcheeba - (2002) Charango - 02-02. Otherwise.flac,/Volumes/dotad/DD/Morcheeba - (2002) Charango - 02-02. Otherwise.flac,222.840,222.840,24816942,24816942,1,1,flac,flac
KEEP_MUSIC,Dur≈; MUSIC larger-or-equal (37715719 >= 37715719),audiohash,0,/Volumes/dotad/MUSIC/0065146.flac,/Volumes/dotad/DD/0065176.flac,197.201,197.201,37715719,37715719,1,1,flac,flac
